id,query,filing_name,ticker,issue_time,usgaap_concept,period,gt_answer
mr_1,Please audit the value of us-gaap:AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation for 2023-01-01 to 2023-12-31 in the 10k filing released by rrr on 2023-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,rrr,2023-12-31,us-gaap:AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,2023-01-01 to 2023-12-31,"{'extracted_value': '-14,721,000', 'calculated_value': '14,721,000'}"
mr_2,Please audit the value of srt:StandardizedMeasureOfDiscountedFutureNetCashFlowRelatingToProvedOilAndGasReservesAccretionOfDiscount for 2020-10-01 to 2021-09-30 in the 10k filing released by brn on 2022-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,brn,2022-09-30,srt:StandardizedMeasureOfDiscountedFutureNetCashFlowRelatingToProvedOilAndGasReservesAccretionOfDiscount,2020-10-01 to 2021-09-30,"{'extracted_value': '-176,000', 'calculated_value': '176,000'}"
mr_3,Please audit the value of us-gaap:CostsIncurredAcquisitionOfOilAndGasPropertiesWithProvedReserves for 2021-01-01 to 2021-12-31 in the 10k filing released by apa on 2021-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,apa,2021-12-31,us-gaap:CostsIncurredAcquisitionOfOilAndGasPropertiesWithProvedReserves,2021-01-01 to 2021-12-31,"{'extracted_value': '-157,000,000', 'calculated_value': '157,000,000'}"
mr_4,Please audit the value of us-gaap:AccountsReceivableGrossCurrent for 2023-12-31 in the 10k filing released by lumn on 2023-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,lumn,2023-12-31,us-gaap:AccountsReceivableGrossCurrent,2023-12-31,"{'extracted_value': '-15000000', 'calculated_value': '15000000'}"
mr_5,Please audit the value of us-gaap:DerivativeNonmonetaryNotionalAmount for 2023-03-31 in the 10q filing released by ngl on 2023-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,ngl,2023-09-30,us-gaap:DerivativeNonmonetaryNotionalAmount,2023-03-31,"{'extracted_value': '-1,069,000', 'calculated_value': '1,069,000'}"
mr_6,Please audit the value of us-gaap:EquityMethodInvestmentDividendsOrDistributions for 2023-01-01 to 2023-09-30 in the 10q filing released by wes on 2023-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,wes,2023-09-30,us-gaap:EquityMethodInvestmentDividendsOrDistributions,2023-01-01 to 2023-09-30,"{'extracted_value': '-3,579,000', 'calculated_value': '3,579,000'}"
mr_7,Please audit the value of us-gaap:ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod for 2020-01-01 to 2020-12-31 in the 10k filing released by noc on 2022-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,noc,2022-12-31,us-gaap:ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,2020-01-01 to 2020-12-31,"{'extracted_value': '-64,000', 'calculated_value': '64,000'}"
mr_8,Please audit the value of us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate for 2021-12-31 in the 10k filing released by noc on 2022-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,noc,2022-12-31,us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate,2021-12-31,"{'extracted_value': '-0.0298', 'calculated_value': '0.0298'}"
mr_9,Please audit the value of us-gaap:DebtInstrumentUnamortizedDiscount for 2023-12-31 in the 10q filing released by iqst on 2024-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,iqst,2024-09-30,us-gaap:DebtInstrumentUnamortizedDiscount,2023-12-31,"{'extracted_value': '-39,012', 'calculated_value': '39,012'}"
mr_10,Please audit the value of us-gaap:ProceedsFromContributedCapital for 2022-01-03 to 2022-10-02 in the 10q filing released by dnut on 2022-10-02. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,dnut,2022-10-02,us-gaap:ProceedsFromContributedCapital,2022-01-03 to 2022-10-02,"{'extracted_value': '-288,000', 'calculated_value': '288,000'}"
mr_11,Please audit the value of us-gaap:AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation for 2021-01-01 to 2021-12-31 in the 10k filing released by rrr on 2023-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,rrr,2023-12-31,us-gaap:AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,2021-01-01 to 2021-12-31,"{'extracted_value': '-3,425,000', 'calculated_value': '3,425,000'}"
mr_12,Please audit the value of us-gaap:AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation for 2022-01-01 to 2022-12-31 in the 10k filing released by rrr on 2023-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,rrr,2023-12-31,us-gaap:AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,2022-01-01 to 2022-12-31,"{'extracted_value': '-4,527,000', 'calculated_value': '4,527,000'}"
mr_13,Please audit the value of us-gaap:PaymentsToAcquirePropertyPlantAndEquipment for 2021-09-01 to 2021-11-30 in the 10q filing released by plasma on 2021-11-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,plasma,2021-11-30,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2021-09-01 to 2021-11-30,"{'extracted_value': '-1284', 'calculated_value': '1284'}"
mr_14,Please audit the value of us-gaap:UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions for 2022-01-01 to 2022-12-31 in the 10k filing released by rrr on 2023-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,rrr,2023-12-31,us-gaap:UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,2022-01-01 to 2022-12-31,"{'extracted_value': '-451,000', 'calculated_value': '451,000'}"
mr_15,Please audit the value of us-gaap:ProceedsFromSaleOfPropertyPlantAndEquipment for 2021-07-01 to 2021-09-30 in the 10q filing released by ovv on 2022-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,ovv,2022-09-30,us-gaap:ProceedsFromSaleOfPropertyPlantAndEquipment,2021-07-01 to 2021-09-30,"{'extracted_value': '-8,000,000', 'calculated_value': '8,000,000'}"
mr_16,Please audit the value of us-gaap:FinancialLiabilitiesFairValueDisclosure for 2023-09-30 in the 10q filing released by wmb on 2023-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,wmb,2023-09-30,us-gaap:FinancialLiabilitiesFairValueDisclosure,2023-09-30,"{'extracted_value': '-4000000', 'calculated_value': '4000000'}"
mr_17,Please audit the value of us-gaap:DefinedBenefitPlanPlanAssetsBenefitsPaid for 2022-01-01 to 2022-12-31 in the 10k filing released by noc on 2022-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,noc,2022-12-31,us-gaap:DefinedBenefitPlanPlanAssetsBenefitsPaid,2022-01-01 to 2022-12-31,"{'extracted_value': '-1,973,000,000', 'calculated_value': '1,973,000,000'}"
